id,category,incoming_email,historical_reply,intent,resolution_type,split
E0194,billing_issue,"Hi team, there seems to be a billing error on my account related to order ORD-97833.","Hello Sam, I reviewed your billing history and found the discrepancy. I've corrected it on our end and you should see an updated statement within one billing cycle.",resolve a billing discrepancy,billing_corrected_or_explained,reference
E0353,address_change,"Hi team, please change the delivery address on my order ORD-52727.","Hi Diego, I've updated the shipping address for order ORD-52727. Since it hasn't shipped yet, the new address will be used for delivery.",update or correct a shipping address,address_updated,evaluation
E0081,delayed_delivery,"Hello, the notebook set I ordered (ORD-13365) is significantly delayed. Where is it?","Hi Hana, I'm sorry for the delay with order ORD-13365. I've checked with our shipping partner and it looks like there was a delay in transit. I've flagged this for priority handling and will follow up with an updated delivery date shortly.",report that a delivery is delayed and ask for an update,escalation_or_update,reference
E0169,password_reset,"Hi, I forgot my password and the reset email isn't arriving. Can you help me regain access?","Hi Alex, I've manually triggered a password reset email to the address on file — please check your inbox and spam folder over the next few minutes. Let me know if it still doesn't arrive.",request help resetting their password,steps_provided,reference
E0264,subscription_cancellation,"Hi team, how do I cancel my subscription before the next billing date?","Hello Aisha, your subscription has been cancelled as requested. No further charges will be made, and you'll receive a confirmation email shortly.",cancel a recurring subscription,subscription_cancelled,reference
E0231,duplicate_charge,"Hello, I see two identical charges of $129.00 on my card for the same air purifier order. Please help.","Hi Maria, I'm sorry for the duplicate charge on order ORD-36342. I've confirmed it was billed twice in error and have refunded the extra charge; it should appear in 5-7 business days.",report being charged twice for the same order,duplicate_refunded,evaluation
E0162,account_access,"Hi, I can't log into my account anymore. It keeps saying my credentials are invalid. Can you help?","Hello Jordan, I've reviewed your account and lifted the temporary lock caused by repeated login attempts. You should be able to sign in normally now.",resolve an issue accessing their account,access_restored_or_steps_provided,reference
E0277,product_information,"Hello, does the blender come with a warranty? I'm considering buying one.","Hi Alex, happy to help! The blender comes with a 1-year limited warranty and detailed specs are listed on the product page. Let me know if you have any other questions before ordering.",ask for more information about a product before purchasing,information_provided,reference
E0019,refund_request,"Hi, I'd like to request a refund for order ORD-80697. The air purifier I received doesn't work as expected. Can you help?","Hello Wei, I understand the frustration. I've processed a refund request for order ORD-80697. Please allow 5-7 business days for the funds to appear on your original payment method.",request a refund for a purchase,refund_initiated,evaluation
E0280,product_information,"Hi team, I have a few questions about the running shoes before I order it.","Hello Diego, thanks for your interest in the running shoes. It's available in multiple sizes and includes care instructions in the box. I'm happy to answer any other questions.",ask for more information about a product before purchasing,information_provided,evaluation
E0188,password_reset,"Hi team, how do I reset my account password? I tried the usual link with no luck.","Hi Priya, I've manually triggered a password reset email to the address on file — please check your inbox and spam folder over the next few minutes. Let me know if it still doesn't arrive.",request help resetting their password,steps_provided,reference
E0148,account_access,"Hi, I can't log into my account anymore. It keeps saying my credentials are invalid. Can you help?","Hello Fatima, I've reviewed your account and lifted the temporary lock caused by repeated login attempts. You should be able to sign in normally now.",resolve an issue accessing their account,access_restored_or_steps_provided,reference
E0245,subscription_cancellation,"Hi, I'd like to cancel my subscription. Please make sure I'm not billed again.","Hi Priya, I've cancelled your subscription effective immediately. You won't be billed going forward, and you'll retain access until the end of your current billing period.",cancel a recurring subscription,subscription_cancelled,reference
E0381,exchange_request,"Hi team, can I swap the running shoes in order ORD-19283 for a different color?","Hi Liam, of course! I've started an exchange for order ORD-19283 — a prepaid return label is on its way to your email, and we'll ship the replacement as soon as the original is on its way back to us.",exchange a purchased item for a different size or variant,exchange_initiated,reference
E0324,complaint,"Hi, I'm really unhappy with the service I received regarding order ORD-89320. This isn't the experience I expected.","Hi Aisha, I'm sorry to hear about your experience with order ORD-89320 — that falls short of what we aim for. I've escalated this to our support lead and will personally follow up to make sure it's resolved.",voice a general complaint about service or experience,acknowledged_and_escalated,evaluation
E0367,address_change,"Hi, I need to update the shipping address for order ORD-55982 before it ships. Can you help?","Hi Hana, I've updated the shipping address for order ORD-55982. Since it hasn't shipped yet, the new address will be used for delivery.",update or correct a shipping address,address_updated,reference
E0094,damaged_product,"Hi, I received my water bottle today (order ORD-46241) but it arrived damaged. What are my options?","Hi Liam, I'm sorry to hear the water bottle arrived damaged — that's not the experience we want for you. I can send a free replacement or process a full refund for order ORD-46241, whichever you'd prefer.",report that a received product arrived damaged,replacement_or_refund,reference
E0113,cancellation,"Hi team, can you cancel order ORD-70552? I placed it by mistake.","Hi Omar, I've cancelled order ORD-70552 for you. Since it hadn't shipped yet, no charges will be applied and any pending authorization will be released within a few business days.",cancel an order before it ships,order_cancelled,reference
E0389,exchange_request,"Hello, the laptop stand I received doesn't fit as expected. Can I exchange it for another size?","Hello Diego, happy to help with the exchange. I've arranged for a new laptop stand to be shipped and included a prepaid label for returning the original from order ORD-81612.",exchange a purchased item for a different size or variant,exchange_initiated,reference
E0098,damaged_product,"Hello, the backpack from order ORD-62521 came with visible damage during shipping. Can you help?","Hi Jordan, I'm sorry to hear the backpack arrived damaged — that's not the experience we want for you. I can send a free replacement or process a full refund for order ORD-62521, whichever you'd prefer.",report that a received product arrived damaged,replacement_or_refund,reference
E0282,product_information,"Hi, can you tell me more about the desk lamp? Specifically, I'd like to know about sizing and materials.","Hi Grace, happy to help! The desk lamp comes with a 1-year limited warranty and detailed specs are listed on the product page. Let me know if you have any other questions before ordering.",ask for more information about a product before purchasing,information_provided,reference
E0273,product_information,"Hello, does the desk lamp come with a warranty? I'm considering buying one.","Hello Sofia, thanks for your interest in the desk lamp. It's available in multiple sizes and includes care instructions in the box. I'm happy to answer any other questions.",ask for more information about a product before purchasing,information_provided,reference
E0391,exchange_request,"Hi team, can I swap the standing desk in order ORD-62727 for a different color?","Hello Ravi, happy to help with the exchange. I've arranged for a new standing desk to be shipped and included a prepaid label for returning the original from order ORD-62727.",exchange a purchased item for a different size or variant,exchange_initiated,reference
E0143,account_access,"Hi team, my account seems to have been suspended and I don't know why.","Hello Diego, I've reviewed your account and lifted the temporary lock caused by repeated login attempts. You should be able to sign in normally now.",resolve an issue accessing their account,access_restored_or_steps_provided,reference
E0176,password_reset,"Hi, I forgot my password and the reset email isn't arriving. Can you help me regain access?","Hello Omar, sorry about that. I've resent the password reset link to your registered email. If it doesn't show up shortly, I can reset it manually from our end.",request help resetting their password,steps_provided,reference
E0155,account_access,"Hi, I can't log into my account anymore. It keeps saying my credentials are invalid. Can you help?","Hello Grace, I've reviewed your account and lifted the temporary lock caused by repeated login attempts. You should be able to sign in normally now.",resolve an issue accessing their account,access_restored_or_steps_provided,reference
E0083,damaged_product,"Hi, unfortunately my order ORD-15383 arrived broken. I'd like a replacement or refund.","Hi Hana, I'm sorry to hear the office chair arrived damaged — that's not the experience we want for you. I can send a free replacement or process a full refund for order ORD-15383, whichever you'd prefer.",report that a received product arrived damaged,replacement_or_refund,reference
E0031,order_status,"Hi, can you tell me the status of my order ORD-82132? I placed it on January 21 and haven't heard anything.","Hi Sofia, thanks for checking in. Order ORD-82132 is currently being processed and is on track to ship soon. You'll receive a tracking number by email once it leaves our warehouse.",check the current status of an order,status_provided,reference
E0070,delayed_delivery,"Hi, my order ORD-30028 was supposed to arrive by April 3 but it still hasn't shown up. Can you check what's going on?","Hi Chloe, I'm sorry for the delay with order ORD-30028. I've checked with our shipping partner and it looks like there was a delay in transit. I've flagged this for priority handling and will follow up with an updated delivery date shortly.",report that a delivery is delayed and ask for an update,escalation_or_update,evaluation
E0395,exchange_request,"Hi, I'd like to exchange the backpack from order ORD-31473 for a different size. How do I do that?","Hi Alex, of course! I've started an exchange for order ORD-31473 — a prepaid return label is on its way to your email, and we'll ship the replacement as soon as the original is on its way back to us.",exchange a purchased item for a different size or variant,exchange_initiated,evaluation
E0137,account_access,"Hi, I can't log into my account anymore. It keeps saying my credentials are invalid. Can you help?","Hi Ethan, sorry for the trouble logging in. I've unlocked your account — please try logging in again, and use the 'Forgot Password' link if you'd like to set a new password.",resolve an issue accessing their account,access_restored_or_steps_provided,reference
E0033,order_status,"Hi, can you tell me the status of my order ORD-61173? I placed it on August 10 and haven't heard anything.","Hello Alex, I checked on order ORD-61173 for you — it's in our fulfillment queue and should ship within 1-2 business days.",check the current status of an order,status_provided,reference
E0149,account_access,"Hi team, my account seems to have been suspended and I don't know why.","Hello Omar, I've reviewed your account and lifted the temporary lock caused by repeated login attempts. You should be able to sign in normally now.",resolve an issue accessing their account,access_restored_or_steps_provided,reference
E0063,delayed_delivery,"Hi, my order ORD-19545 was supposed to arrive by July 21 but it still hasn't shown up. Can you check what's going on?","Hello Ethan, apologies for the inconvenience. Order ORD-19545 is currently delayed in transit. I've escalated this to our logistics team and will update you as soon as I have a new estimated delivery date.",report that a delivery is delayed and ask for an update,escalation_or_update,reference
E0236,duplicate_charge,"Hello, I see two identical charges of $79.99 on my card for the same notebook set order. Please help.","Hi Wei, I'm sorry for the duplicate charge on order ORD-52291. I've confirmed it was billed twice in error and have refunded the extra charge; it should appear in 5-7 business days.",report being charged twice for the same order,duplicate_refunded,reference
E0127,cancellation,"Hi team, can you cancel order ORD-18968? I placed it by mistake.","Hi Ethan, I've cancelled order ORD-18968 for you. Since it hadn't shipped yet, no charges will be applied and any pending authorization will be released within a few business days.",cancel an order before it ships,order_cancelled,reference
E0129,cancellation,"Hi, I need to cancel order ORD-16028 before it ships. Is that still possible?","Hello Alex, order ORD-16028 has been successfully cancelled. You won't be charged, and you'll receive a confirmation email shortly.",cancel an order before it ships,order_cancelled,reference
E0059,delayed_delivery,"Hi team, order ORD-81819 is past its estimated delivery date. Can you look into this?","Hello Chloe, apologies for the inconvenience. Order ORD-81819 is currently delayed in transit. I've escalated this to our logistics team and will update you as soon as I have a new estimated delivery date.",report that a delivery is delayed and ask for an update,escalation_or_update,reference
E0276,product_information,"Hello, does the laptop stand come with a warranty? I'm considering buying one.","Hello Jordan, thanks for your interest in the laptop stand. It's available in multiple sizes and includes care instructions in the box. I'm happy to answer any other questions.",ask for more information about a product before purchasing,information_provided,reference
E0405,exchange_request,"Hello, the air purifier I received doesn't fit as expected. Can I exchange it for another size?","Hello Hana, happy to help with the exchange. I've arranged for a new air purifier to be shipped and included a prepaid label for returning the original from order ORD-74665.",exchange a purchased item for a different size or variant,exchange_initiated,evaluation
E0347,technical_support,"Hello, I'm having trouble setting up my air purifier. The instructions don't seem to match what I'm seeing.","Hello Aisha, thanks for the details. This is usually caused by outdated firmware — could you update the air purifier's firmware through the companion app and try again?",get help with a technical problem using a product or service,troubleshooting_provided,reference
E0185,password_reset,"Hi team, how do I reset my account password? I tried the usual link with no luck.","Hi Diego, I've manually triggered a password reset email to the address on file — please check your inbox and spam folder over the next few minutes. Let me know if it still doesn't arrive.",request help resetting their password,steps_provided,evaluation
E0001,refund_request,"Hi team, I purchased a running shoes on April 5 (order ORD-46048) and would like to return it for a refund.","Hi Alex, thanks for reaching out. I'm sorry the running shoes didn't meet your expectations. I've initiated a refund for order ORD-46048; you should see the amount back in your account within 5-7 business days.",request a refund for a purchase,refund_initiated,reference
E0004,refund_request,"Hi, I'd like to request a refund for order ORD-46421. The coffee grinder I received doesn't work as expected. Can you help?","Hello Aisha, I understand the frustration. I've processed a refund request for order ORD-46421. Please allow 5-7 business days for the funds to appear on your original payment method.",request a refund for a purchase,refund_initiated,reference
E0112,cancellation,"Hi team, can you cancel order ORD-21542? I placed it by mistake.","Hi Sofia, I've cancelled order ORD-21542 for you. Since it hadn't shipped yet, no charges will be applied and any pending authorization will be released within a few business days.",cancel an order before it ships,order_cancelled,reference
E0201,billing_issue,"Hi, I noticed a charge on my statement I don't recognize for order ORD-28140. Can you explain this?","Hi Ethan, thanks for flagging this. I looked into order ORD-28140 and the $129.99 charge reflects the item price plus applicable tax. I've attached a breakdown for clarity — let me know if anything still looks off.",resolve a billing discrepancy,billing_corrected_or_explained,reference
E0066,delayed_delivery,"Hello, the desk lamp I ordered (ORD-97500) is significantly delayed. Where is it?","Hi Sofia, I'm sorry for the delay with order ORD-97500. I've checked with our shipping partner and it looks like there was a delay in transit. I've flagged this for priority handling and will follow up with an updated delivery date shortly.",report that a delivery is delayed and ask for an update,escalation_or_update,evaluation
E0394,exchange_request,"Hello, the bluetooth speaker I received doesn't fit as expected. Can I exchange it for another size?","Hi Sofia, of course! I've started an exchange for order ORD-90254 — a prepaid return label is on its way to your email, and we'll ship the replacement as soon as the original is on its way back to us.",exchange a purchased item for a different size or variant,exchange_initiated,evaluation
E0287,product_information,"Hi team, I have a few questions about the notebook set before I order it.","Hi Omar, happy to help! The notebook set comes with a 1-year limited warranty and detailed specs are listed on the product page. Let me know if you have any other questions before ordering.",ask for more information about a product before purchasing,information_provided,evaluation
E0332,technical_support,"Hi team, the app keeps crashing when I try to pair it with my coffee grinder.","Hi Chloe, sorry for the trouble. Could you try resetting the coffee grinder by holding the power button for 10 seconds, then reconnecting via Bluetooth? Let me know if that resolves it or if you'd like a video walkthrough.",get help with a technical problem using a product or service,troubleshooting_provided,reference
E0248,subscription_cancellation,"Hi, I'd like to cancel my subscription. Please make sure I'm not billed again.","Hi Noah, I've cancelled your subscription effective immediately. You won't be billed going forward, and you'll retain access until the end of your current billing period.",cancel a recurring subscription,subscription_cancelled,reference
E0364,address_change,"Hi team, please change the delivery address on my order ORD-81611.","Hi Sofia, I've updated the shipping address for order ORD-81611. Since it hasn't shipped yet, the new address will be used for delivery.",update or correct a shipping address,address_updated,reference
E0319,complaint,"Hi, I'm really unhappy with the service I received regarding order ORD-94529. This isn't the experience I expected.","Hello Ravi, thank you for your patience and for letting us know. I've logged your feedback about order ORD-94529 and escalated it internally so we can prevent this going forward.",voice a general complaint about service or experience,acknowledged_and_escalated,evaluation
E0240,duplicate_charge,"Hi team, order ORD-64602 appears to have been billed twice by mistake.","Hi Hana, I'm sorry for the duplicate charge on order ORD-64602. I've confirmed it was billed twice in error and have refunded the extra charge; it should appear in 5-7 business days.",report being charged twice for the same order,duplicate_refunded,reference
E0021,refund_request,"Hi team, I purchased a smart watch on February 25 (order ORD-73699) and would like to return it for a refund.","Hi Jordan, thanks for reaching out. I'm sorry the smart watch didn't meet your expectations. I've initiated a refund for order ORD-73699; you should see the amount back in your account within 5-7 business days.",request a refund for a purchase,refund_initiated,evaluation
E0355,address_change,"Hello, I entered the wrong address on order ORD-32613. Can this be corrected?","Hello Ethan, good news — order ORD-32613 hadn't shipped yet, so I was able to update the address as requested.",update or correct a shipping address,address_updated,reference
E0030,order_status,"Hi, can you tell me the status of my order ORD-68800? I placed it on July 6 and haven't heard anything.","Hi Omar, thanks for checking in. Order ORD-68800 is currently being processed and is on track to ship soon. You'll receive a tracking number by email once it leaves our warehouse.",check the current status of an order,status_provided,reference
E0297,product_information,"Hi, can you tell me more about the backpack? Specifically, I'd like to know about sizing and materials.","Hi Ravi, happy to help! The backpack comes with a 1-year limited warranty and detailed specs are listed on the product page. Let me know if you have any other questions before ordering.",ask for more information about a product before purchasing,information_provided,reference
E0037,order_status,"Hi, can you tell me the status of my order ORD-87924? I placed it on October 3 and haven't heard anything.","Hi Hana, thanks for checking in. Order ORD-87924 is currently being processed and is on track to ship soon. You'll receive a tracking number by email once it leaves our warehouse.",check the current status of an order,status_provided,evaluation
E0171,password_reset,"Hi, I forgot my password and the reset email isn't arriving. Can you help me regain access?","Hi Wei, I've manually triggered a password reset email to the address on file — please check your inbox and spam folder over the next few minutes. Let me know if it still doesn't arrive.",request help resetting their password,steps_provided,reference
E0161,account_access,"Hello, I'm locked out of my account after a few failed login attempts. What should I do?","Hello Ravi, I've reviewed your account and lifted the temporary lock caused by repeated login attempts. You should be able to sign in normally now.",resolve an issue accessing their account,access_restored_or_steps_provided,evaluation
E0100,damaged_product,"Hi, unfortunately my order ORD-68028 arrived broken. I'd like a replacement or refund.","Hello Sofia, apologies for the damage on order ORD-68028. I've started a replacement shipment for you at no extra cost, and you won't need to return the damaged item.",report that a received product arrived damaged,replacement_or_refund,reference
E0393,exchange_request,"Hello, the water bottle I received doesn't fit as expected. Can I exchange it for another size?","Hi Noah, of course! I've started an exchange for order ORD-67342 — a prepaid return label is on its way to your email, and we'll ship the replacement as soon as the original is on its way back to us.",exchange a purchased item for a different size or variant,exchange_initiated,evaluation
E0361,address_change,"Hello, I entered the wrong address on order ORD-68176. Can this be corrected?","Hello Ravi, good news — order ORD-68176 hadn't shipped yet, so I was able to update the address as requested.",update or correct a shipping address,address_updated,reference
E0257,subscription_cancellation,"Hi team, how do I cancel my subscription before the next billing date?","Hello Alex, your subscription has been cancelled as requested. No further charges will be made, and you'll receive a confirmation email shortly.",cancel a recurring subscription,subscription_cancelled,reference
E0187,password_reset,"Hello, I'd like to reset my password but I'm not receiving the reset link. What can I do?","Hi Sofia, I've manually triggered a password reset email to the address on file — please check your inbox and spam folder over the next few minutes. Let me know if it still doesn't arrive.",request help resetting their password,steps_provided,reference
E0404,exchange_request,"Hi, I'd like to exchange the bluetooth speaker from order ORD-48219 for a different size. How do I do that?","Hello Fatima, happy to help with the exchange. I've arranged for a new bluetooth speaker to be shipped and included a prepaid label for returning the original from order ORD-48219.",exchange a purchased item for a different size or variant,exchange_initiated,reference
E0068,delayed_delivery,"Hello, the backpack I ordered (ORD-78327) is significantly delayed. Where is it?","Hi Emma, I'm sorry for the delay with order ORD-78327. I've checked with our shipping partner and it looks like there was a delay in transit. I've flagged this for priority handling and will follow up with an updated delivery date shortly.",report that a delivery is delayed and ask for an update,escalation_or_update,evaluation
